Protest,Region,Country,Location,Start_day,Start_month,Start_year,End_day,End_month,End_year,Protester_violence,Protester_identity,Protester_demand,State_response_level,State_response,,Participants_estimate,Participants_low,Participants_high,Participants_average
1851,Europe,United Kingdom,Aberdeen,29,11,2011,29,11,2011,0,students,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
1891,Europe,United Kingdom,Aberdeen,26,2,2018,26,2,2018,0,Officials and members of the RMT union,labor wage dispute,2,ignore,,5000-10000,5000,10000,7500
1893,Europe,United Kingdom,Aberdeen,13,3,2018,22,3,2018,0,Students,labor wage dispute,2,ignore,,50-99,50,99,75
495,Europe,Georgia,Abkhazia,28,5,2014,28,5,2014,0,protests,removal of politician,2,ignore,,50-99,50,99,75
1652,Europe,Spain,Almer,11,1,2010,11,1,2010,0,homeowners from the region,land farm issue,2,ignore,,2000-4999,2000,4999,3500
385,Europe,France,Amiens,13,8,2012,13,8,2012,1,youths,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
1323,Europe,Netherlands,Amsterdam,5,4,2017,5,4,2017,0,"Dutch politicians, actors, police officers, soldiers, athletes, and people showing their support for gay rights",social restrictions,2,ignore,,2000-4999,2000,4999,3500
1144,Europe,Italy,Ancona,15,3,2019,15,3,2019,0,women,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1654,Europe,Spain,Andalusia,16,8,2012,22,8,2012,0,unemployed farmworkers,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1817,Europe,Ukraine,Andreyevka,2,5,2014,2,5,2014,0,villagers,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1627,Europe,Spain,ARCHIDONA,1,1,2018,11,1,2018,0,activists,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1988,Europe,United Kingdom,Argyll,13,4,2015,13,4,2015,0,anti nuclear demonstrators,"political behavior, process",4,arrests,,2000-4999,2000,4999,3500
1519,Europe,Russia,Astrakhan,10,4,2012,10,4,2012,0,Oleg V. Shein of the Just Russia party,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1520,Europe,Russia,Astrakhan,14,4,2012,14,4,2012,0,Oleg V. Shein of the Just Russia party,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
732,Europe,Greece,Athens,9,1,2009,9,1,2009,1,"youth, students, teachers, public workers","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
733,Europe,Greece,Athens,29,6,2010,29,6,2010,1,"Greeks, workers, Communist Party supporters, Adedy  union , General Confederation of Greek Workers  GSEE ","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
734,Europe,Greece,Athens,18,6,2011,18,6,2011,0,"Greeks, Communist Party supporters","political behavior, process",,,,2000-4999,2000,4999,3500
736,Europe,Greece,Athens,19,1,2013,19,1,2013,0," immigrants, human rights activists, ","political behavior, process",2,ignore,,2000-4999,2000,4999,3500
737,Europe,Greece,Athens,1,5,2013,1,5,2013,0,"Greeks, workers",labor wage dispute,3,crowd_dispersal,,2000-4999,2000,4999,3500
738,Europe,Greece,Athens,8,7,2013,8,7,2013,0,"demonstrators, police officers, civil servants, public workers","political behavior, process",2,ignore,,2000-4999,2000,4999,3500
739,Europe,Greece,Athens,18,7,2013,18,7,2013,0,Greeks,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
741,Europe,Greece,Athens,5,2,2015,5,2,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,100-999,100,999,550
742,Europe,Greece,Athens,18,6,2015,18,6,2015,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
743,Europe,Greece,Athens,23,7,2015,23,7,2015,1,anti austerity protesters,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
744,Europe,Greece,Athens,12,11,2015,12,11,2015,0,labor unions,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
745,Europe,Greece,Athens,12,11,2015,12,11,2015,0,communist parties,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
746,Europe,Greece,Athens,12,11,2015,12,11,2015,1,students and leftists,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
747,Europe,Greece,Athens,1,5,2017,1,5,2017,0,anti austerity protesters,labor wage dispute,2,ignore,,>10000,10000,10000,10000
748,Europe,Greece,Athens,9,6,2017,9,6,2017,1,anti austerity protesters,labor wage dispute,2,ignore,,>10000,10000,10000,10000
750,Europe,Greece,Athens,15,6,2018,16,6,2018,0,protesters,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
751,Europe,Greece,Athens,9,12,2009,9,12,2009,0,pensioners,"political behavior, process",2,ignore,,>10000,10000,10000,10000
752,Europe,Greece,Athens,10,12,2009,10,12,2009,0,students,"political behavior, process",2,ignore,,2000,2000,2000,2000
753,Europe,Greece,Athens,17,12,2009,17,12,2009,0,"teachers, doctors","political behavior, process",2,ignore,,5000-10000,5000,10000,7500
754,Europe,Greece,Athens,27,1,2010,27,1,2010,0,farmers,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
755,Europe,Greece,Athens,2,3,2010,2,3,2010,0,taxi drivers,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
756,Europe,Greece,Athens,3,3,2010,3,3,2010,0,protesters,labor wage dispute,3,crowd_dispersal,,5000-10000,5000,10000,7500
757,Europe,Greece,Athens,3,3,2010,3,3,2010,0,pensioners,labor wage dispute,3,crowd_dispersal,,5000-10000,5000,10000,7500
758,Europe,Greece,Athens,4,3,2010,4,3,2010,0,pensioners,labor wage dispute,2,ignore,,50-99,50,99,75
759,Europe,Greece,Athens,16,3,2010,16,3,2010,0,government workers,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
760,Europe,Greece,Athens,19,3,2010,19,3,2010,0,taxi drivers,"price increases, tax policy",2,ignore,,50-99,50,99,75
761,Europe,Greece,Athens,23,3,2010,23,3,2010,0,protesters,"political behavior, process",2,ignore,,50-99,50,99,75
762,Europe,Greece,Athens,24,3,2010,24,3,2010,0,civil servants,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
763,Europe,Greece,Athens,26,4,2010,26,4,2010,1,demonstrators,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
764,Europe,Greece,Athens,27,4,2010,27,4,2010,0,transportation workers,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
766,Europe,Greece,Athens,7,5,2010,7,5,2010,0,protesters,"political behavior, process",2,ignore,,1000-1999,1000,1999,1500
767,Europe,Greece,Athens,19,7,2011,19,7,2011,0,taxi drivers,labor wage dispute,3,crowd_dispersal,,1000-1999,1000,1999,1500
768,Europe,Greece,Athens,20,9,2011,20,9,2011,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
769,Europe,Greece,Athens,21,9,2011,21,9,2011,0,public sector workers,labor wage dispute,2,ignore,,100-999,100,999,550
770,Europe,Greece,Athens,22,9,2011,22,9,2011,0,"police officers, fire fighters, Coast Guard officers","political behavior, process",2,ignore,,>10000,10000,10000,10000
771,Europe,Greece,Athens,23,9,2011,23,9,2011,0,protesters,labor wage dispute,2,ignore,,>10000,10000,10000,10000
772,Europe,Greece,Athens,27,9,2011,27,9,2011,1,demonstrators,"price increases, tax policy",3,crowd_dispersal,,>10000,10000,10000,10000
773,Europe,Greece,Athens,11,10,2011,19,10,2011,0,civil servants,labor wage dispute,2,ignore,,>10000,10000,10000,10000
774,Europe,Greece,Athens,17,10,2011,17,10,2011,0,"police officers, fire fighters, Coast Guard officers","political behavior, process",2,ignore,,>10000,10000,10000,10000
776,Europe,Greece,Athens,21,11,2011,21,11,2011,0,protesters,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
777,Europe,Greece,Athens,9,2,2012,9,2,2012,0,"trade union members, electricity workers","political behavior, process",2,ignore,,>10000,10000,10000,10000
780,Europe,Greece,Athens,4,9,2012,4,9,2012,0,pensioners,"political behavior, process",2,ignore,,>10000,10000,10000,10000
781,Europe,Greece,Athens,5,9,2012,5,9,2012,0,"judges, public prosecutors, court workers",labor wage dispute,2,ignore,,>10000,10000,10000,10000
782,Europe,Greece,Athens,18,9,2012,18,9,2012,1,police,labor wage dispute,3,crowd_dispersal,,>10000,10000,10000,10000
783,Europe,Greece,Athens,27,9,2012,27,9,2012,0,protesters,"political behavior, process",2,ignore,,>10000,10000,10000,10000
784,Europe,Greece,Athens,5,10,2012,5,10,2012,1,shipyard workers,labor wage dispute,4,arrests,,>10000,10000,10000,10000
785,Europe,Greece,Athens,17,10,2012,17,10,2012,0,doctors and lawyers,"political behavior, process",2,ignore,,>10000,10000,10000,10000
786,Europe,Greece,Athens,25,10,2012,25,10,2012,0,"protesters, bank employees","political behavior, process",2,ignore,,50-99,50,99,75
787,Europe,Greece,Athens,5,11,2012,5,11,2012,0,journalists,"political behavior, process",2,ignore,,>10000,10000,10000,10000
788,Europe,Greece,Athens,28,11,2012,28,11,2012,0,disabled people,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
789,Europe,Greece,Athens,9,7,2013,16,7,2013,0,"local government employees, police officers","political behavior, process",2,ignore,,100-999,100,999,550
790,Europe,Greece,Athens,23,9,2013,23,9,2013,0,municipal workers,"political behavior, process",2,ignore,,100-999,100,999,550
791,Europe,Greece,Athens,16,2,2014,16,2,2014,0,doctors,labor wage dispute,1,accomodate,,100-999,100,999,550
