OrganizationNumber,OrganizationName,boro_name,Fax,Phone,URL,latitude,longitude,Census Tract,Address1,City,Postcode,focus1,focus2,focus3,focus4,focus5,focus6,focus7,focus8,focus9,focus10,focus11,focus12,focus13,focus14,fofcus15,focus16,focus17,focus18,focus19,focus20,focus21,focus22,focus23
227,Nonprofit Coordinating Committee of New York,BRONX,2125024189,2125024191,http://www.npccny.org,40.751306,-73.987656,109,1350 Broadway,New York,10018,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,
926,Nonprofit Coordinating Committee of New York,MANHATTAN,2125024189,2125024191,http://www.npccny.org,40.751306,-73.987656,109,1350 Broadway,New York,10018,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,
1331,Nonprofit Coordinating Committee of New York,QUEENS,2125024189,2125024191,http://www.npccny.org,40.751306,-73.987656,109,1350 Broadway,New York,10018,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,
1527,Nonprofit Coordinating Committee of New York,STATENIS,2125024189,2125024191,http://www.npccny.org,40.751306,-73.987656,109,1350 Broadway,New York,10018,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,
1894,Nonprofit Coordinating Committee of New York,BROOKLYN,2125024189,2125024191,http://www.npccny.org,40.751306,-73.987656,109,1350 Broadway,New York,10018,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,
234,New York Women's Agenda,BRONX,,2129372411,http://www.nywa.org,,,,"PO Box 8419, FDR Station",New York,10150,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,,,,,,,,
933,New York Women's Agenda,MANHATTAN,,2129372411,http://www.nywa.org,,,,"PO Box 8419, FDR Station",New York,10150,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,,,,,,,,
1338,New York Women's Agenda,QUEENS,,2129372411,http://www.nywa.org,,,,"PO Box 8419, FDR Station",New York,10150,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,,,,,,,,
1534,New York Women's Agenda,STATENIS,,2129372411,http://www.nywa.org,,,,"PO Box 8419, FDR Station",New York,10150,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,,,,,,,,
1901,New York Women's Agenda,BROOKLYN,,2129372411,http://www.nywa.org,,,,"PO Box 8419, FDR Station",New York,10150,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,,,,,,,,
1102,"Chinese Immigrants Services, Inc.",QUEENS,7183595065,7183530195,,40.757852,-73.830212,849,"133-54 41st Avenue, 4 Fl",Flushing,11355,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,Victim Services,Youth Services,,,,,,
764,Korean Community Services of Metropolitan New York,MANHATTAN,7188866126,7189396137,http://www.kcsny.org,40.765263,-73.806158,1171,35-56 159th Street,Flushing,11358,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Health,Immigration,,,,,,,,,,,,,,
1187,Korean Community Services of Metropolitan New York,QUEENS,7188866126,7189396137,http://www.kcsny.org,40.765263,-73.806158,1171,35-56 159th Street,Flushing,11358,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Health,Immigration,,,,,,,,,,,,,,
1655,Korean Community Services of Metropolitan New York,BROOKLYN,7188866126,7189396137,http://www.kcsny.org,40.765263,-73.806158,1171,35-56 159th Street,Flushing,11358,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Health,Immigration,,,,,,,,,,,,,,
368,"The Lesbian, Gay, Bisexual & Transgender Community Center",MANHATTAN,2129242657,2126207310,http://www.gaycenter.org/,40.738034,-74.000603,77,208 West 13th Street,New York,10011,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Health,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Youth Services,,,,,,,,,,,,,
