Region,Country,Location,Start Day,Start Month,Start Year,End Day,End Month,End Year,Protester Violence,Participants,Participants-estimated,Protester Identity,Protester Demand,State Response 1,State Response 2,Participants,,
Europe,Albania,Tirana,30,3,2010,30,4,2010,0,>10000,,protesters,"political behavior, process",ignore,,>10000,,
Europe,Albania,Tirana,1,5,2010,1,5,2010,0,2000-4999,,protesters,"political behavior, process",crowd dispersal,,2000-4999,,
Europe,Albania,Tirana,1,5,2010,14,5,2010,0,100-999,,opposition leaders,"political behavior, process",ignore,,100-999,,
Europe,Albania,Tirana,9,5,2010,9,5,2010,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Albania,Tirana,15,5,2010,15,5,2010,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Albania,Elbasan,26,11,2010,26,11,2010,0,50-99,,protesters,"political behavior, process",ignore,,50-99,,
Europe,Albania,Tirana,21,1,2011,21,1,2011,1,>10000,,protesters,"political behavior, process",crowd dispersal,arrests,>10000,,
Europe,Albania,Tirana,28,1,2011,28,1,2011,0,>10000,,opposition ,"political behavior, process",ignore,,>10000,,
Europe,Albania,Tirana,19,2,2011,19,2,2011,0,>10000,,protesters,"political behavior, process",ignore,,>10000,,
Europe,Albania,Tirana,21,1,2013,21,1,2013,0,2000-4999,,supporters of opposition Socialist party,"political behavior, process",ignore,,2000,4999,3499.5
Europe,Albania,Tirana,7,11,2013,7,11,2013,0,100-999,,protesters,"political behavior, process",ignore,,100-999,,
Europe,Albania,National,14,11,2013,15,11,2013,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Albania,Tirana,13,5,2017,13,5,2017,0,2000-4999,,opposition,"political behavior, process",ignore,,2000-4999,,
Europe,Albania,Tirana,18,12,2017,18,12,2017,1,2000-4999,,opposition,"political behavior, process",crowd dispersal,,2000-4999,,
Europe,Albania,national,5,4,2018,5,4,2018,0,100-999,,opposition,"price increases, tax policy",ignore,,100-999,,
Europe,Albania,Tirana,26,5,2018,26,5,2018,1,>10000,,opposition,removal of politician,crowd dispersal,,>10000,,
Europe,Albania,Tirana,22,11,2018,22,11,2018,0,100-999,,residents,land farm issue,crowd dispersal,arrests,100-999,,
Europe,Albania,Tirana; national,4,12,2018,4,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana; national,5,12,2018,5,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana; national,6,12,2018,6,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
